Airport,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
ATL,Arrival,3975829,414521,187243,9.591381378,45.17093223
ATL,Departure,4708789,414513,175017,11.35981019,42.22231872
BOS,Arrival,1037198,117944,48321,8.793986977,40.96944313
BOS,Departure,1097607,117915,37570,9.308459484,31.86193444
BWI,Arrival,635474,104068,40938,6.10633432,39.33774071
BWI,Departure,1044961,104074,46748,10.04055768,44.91803909
CLT,Arrival,585957,126030,50695,4.649345394,40.22454971
CLT,Departure,1172212,126045,48936,9.299948431,38.82422944
DEN,Arrival,1476561,241470,102681,6.114883837,42.52329482
DEN,Departure,2373638,241443,104414,9.83104915,43.24581785
DFW,Arrival,2128028,281401,119817,7.562261684,42.57873995
DFW,Departure,3252788,281281,127749,11.56419381,45.41686072
DTW,Arrival,748745,162000,60006,4.621882716,37.04074074
DTW,Departure,1473916,161989,59837,9.098864738,36.93892795
EWR,Arrival,2782434,138491,68896,20.09108173,49.74763703
EWR,Departure,2450402,138506,69612,17.69166679,50.25919455
IAH,Arrival,1345485,185160,77187,7.266607259,41.68664938
IAH,Departure,1929309,185172,87139,10.41901043,47.05841056
JFK,Arrival,1585100,118802,54138,13.34236797,45.5699399
JFK,Departure,1538176,118804,43904,12.9471735,36.95498468
LAS,Arrival,1107671,172871,73763,6.40750039,42.66938931
LAS,Departure,1788074,172876,76240,10.34310141,44.10097411
LAX,Arrival,1448928,215685,93508,6.717796787,43.35396527
LAX,Departure,1849004,215608,87258,8.575767133,40.47066899
LGA,Arrival,1744012,119117,58899,14.64116793,49.44634267
LGA,Departure,1270213,119135,38484,10.66196332,32.30284971
MCO,Arrival,891144,130859,54904,6.809955754,41.95660979
MCO,Departure,1292730,130872,51364,9.877819549,39.24750902
MSP,Arrival,746238,130320,52278,5.726197053,40.11510129
MSP,Departure,959884,130289,44958,7.367344902,34.50636662
ORD,Arrival,5074964,350452,151871,14.48119571,43.33574926
ORD,Departure,5800184,350380,159427,16.55398139,45.50117016
PHX,Arrival,812733,199416,79006,4.075565652,39.61868656
PHX,Departure,1638640,199408,82915,8.217523871,41.58057851
SEA,Arrival,730733,109075,49969,6.699362824,45.81159752
SEA,Departure,928216,109069,46162,8.51035583,42.32366667
SFO,Arrival,1875070,140579,66724,13.33819418,47.46370368
SFO,Departure,1843924,140587,58200,13.11589265,41.39785329
SLC,Arrival,399257,139077,51089,2.87076224,36.73432703
SLC,Departure,719094,139088,44669,5.170064995,32.11563902
