Airport,UniqueCarrier,Airline,Status,Delay (in min),Flight Counts,Delay Counts,Average Delay (in min),Delay Frequency (%)
ATL,9E,Endeavor Air Inc.,Departure,74943,7622,2819,26.58495921,36.9850433
ATL,AA,American Airlines Inc.,Departure,103883,8198,3317,31.31835996,40.46108807
ATL,CO,Continental Airlines Inc.,Departure,84695,4294,1870,45.29144385,43.54913833
ATL,DL,Delta Airlines Inc.,Departure,1443191,151251,65046,22.18723672,43.0053355
ATL,EV,ExpressJet Airlines Inc.,Departure,1648858,128680,52900,31.16933837,41.10972956
ATL,F9,Frontier Airlines Inc.,Departure,6472,1353,498,12.99598394,36.80709534
ATL,FL,AirTran Airways Co.,Departure,980302,87077,38280,25.60872518,43.96109191
ATL,MQ,Envoy Air,Departure,18594,692,419,44.37708831,60.54913295
ATL,NW,Northwest Airlines Inc.,Departure,21376,3514,900,23.75111111,25.61183836
ATL,OH,PSA Airlines Inc.,Departure,146995,7009,2996,49.06375167,42.74504209
ATL,OO,SkyWest Airlines Inc.,Departure,63860,4539,2240,28.50892857,49.35007711
ATL,UA,United Airlines Inc.,Departure,37453,2554,1071,34.97012138,41.93422083
ATL,US,US Airways Inc.,Departure,24484,3516,1354,18.08271787,38.50967008
ATL,XE,ExpressJet Airlines Inc.,Departure,18085,1699,523,34.5793499,30.78281342
ATL,YV,Mesa Airlines Inc.,Departure,35598,2515,784,45.40561224,31.17296223
BOS,9E,Endeavor Air Inc.,Departure,10595,1205,309,34.28802589,25.64315353
BOS,AA,American Airlines Inc.,Departure,132432,12611,4307,30.74808451,34.15272381
BOS,AS,Alaska Airlines Inc.,Departure,8818,984,472,18.68220339,47.96747967
BOS,B6,JetBlue Airways,Departure,199746,18855,6181,32.31613008,32.7817555
BOS,CO,Continental Airlines Inc.,Departure,117626,6472,3001,39.19560147,46.36897404
BOS,DL,Delta Airlines Inc.,Departure,113728,14539,4819,23.599917,33.14533324
BOS,EV,ExpressJet Airlines Inc.,Departure,131,54,16,8.1875,29.62962963
BOS,FL,AirTran Airways Co.,Departure,58579,7383,1906,30.7339979,25.81606393
BOS,MQ,Envoy Air,Departure,104919,9990,3367,31.16097416,33.7037037
BOS,NW,Northwest Airlines Inc.,Departure,27966,3948,1076,25.99070632,27.25430598
BOS,OH,PSA Airlines Inc.,Departure,132140,11732,3146,42.00254291,26.81554722
BOS,UA,United Airlines Inc.,Departure,100051,9367,3625,27.60027586,38.6996904
BOS,US,US Airways Inc.,Departure,60966,19676,4833,12.61452514,24.56291929
BOS,XE,ExpressJet Airlines Inc.,Departure,12621,573,258,48.91860465,45.02617801
BOS,YV,Mesa Airlines Inc.,Departure,17289,526,254,68.06692913,48.28897338
BWI,9E,Endeavor Air Inc.,Departure,2963,571,146,20.29452055,25.56917688
BWI,AA,American Airlines Inc.,Departure,21105,3111,992,21.27520161,31.8868531
BWI,CO,Continental Airlines Inc.,Departure,10221,1986,632,16.17246835,31.82275932
BWI,DL,Delta Airlines Inc.,Departure,30024,4084,1339,22.42270351,32.78648384
BWI,EV,ExpressJet Airlines Inc.,Departure,453,61,26,17.42307692,42.62295082
BWI,FL,AirTran Airways Co.,Departure,136787,15764,5467,25.02048656,34.68028419
BWI,MQ,Envoy Air,Departure,29001,1717,729,39.781893,42.45777519
BWI,NW,Northwest Airlines Inc.,Departure,23956,3061,806,29.72208437,26.33126429
BWI,OH,PSA Airlines Inc.,Departure,47013,3825,1109,42.39224527,28.99346405
BWI,OO,SkyWest Airlines Inc.,Departure,6523,699,259,25.18532819,37.05293276
BWI,UA,United Airlines Inc.,Departure,47171,4803,1845,25.56693767,38.41349157
BWI,US,US Airways Inc.,Departure,21634,4442,1511,14.31767042,34.01620891
BWI,WN,Southwest Airlines Co.,Departure,646645,58173,31326,20.64243759,53.8497241
BWI,XE,ExpressJet Airlines Inc.,Departure,20325,1456,499,40.73146293,34.27197802
BWI,YV,Mesa Airlines Inc.,Departure,1140,321,62,18.38709677,19.31464174
CLT,9E,Endeavor Air Inc.,Departure,7229,1198,336,21.51488095,28.04674457
CLT,AA,American Airlines Inc.,Departure,12865,1875,503,25.57654076,26.82666667
CLT,B6,JetBlue Airways,Departure,32080,1969,702,45.6980057,35.65261554
CLT,CO,Continental Airlines Inc.,Departure,7967,213,138,57.73188406,64.78873239
CLT,DL,Delta Airlines Inc.,Departure,19012,2893,1003,18.9551346,34.66989284
CLT,EV,ExpressJet Airlines Inc.,Departure,8648,374,231,37.43722944,61.76470588
CLT,FL,AirTran Airways Co.,Departure,27965,2580,1053,26.55745489,40.81395349
CLT,MQ,Envoy Air,Departure,64300,4050,1815,35.42699725,44.81481481
CLT,NW,Northwest Airlines Inc.,Departure,16579,2268,635,26.10866142,27.99823633
CLT,OH,PSA Airlines Inc.,Departure,25519,1645,601,42.4608985,36.53495441
CLT,OO,SkyWest Airlines Inc.,Departure,1084,179,42,25.80952381,23.46368715
CLT,UA,United Airlines Inc.,Departure,26472,1623,703,37.65576102,43.31484905
CLT,US,US Airways Inc.,Departure,559213,78127,31815,17.57702342,40.72215751
CLT,XE,ExpressJet Airlines Inc.,Departure,89479,5509,2053,43.58451047,37.26629152
